OAM,X(A1),X(A2),X(A3),X(A4),X(A5),X(A6),X(A7),X(A8),X(A9),X(A10),X(A11),Becslés,Tény+0,Delta,Delta/Tény,validation,conclusion
SM001,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8881073.8,5.0,8881078.8,177621577.0,0,invalid
SM002,225.6,-1901.2,-550.0,88.8,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8882625.0,5.0,8882630.0,177652601.0,0,invalid
SM003,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8880431.4,5.0,8880436.4,177608728.0,0,invalid
SM004,225.6,130.0,172.8,19.2,0.0,0.4,-183.2,339.6,393.6,-15.6,4.8,-8879801.6,6.0,8879807.6,147996793.0,0,invalid
SM005,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8881073.8,5.0,8881078.8,177621577.0,0,invalid
SM006,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8881221.5,5.0,8881226.5,177624529.0,0,invalid
SM007,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-440.4,4.8,-8881191.3,5.0,8881196.3,177623925.0,0,invalid
SM008,225.6,83.6,-550.0,-3336.8,0.0,0.4,95.2,-1846.8,66.8,-440.4,4.8,-8886586.0,7.0,8886593.0,126951329.0,0,invalid
SM009,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,7.0,8880626.1,126866087.0,0,invalid
SM010,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,5.0,8880006.0,177600120.0,0,invalid
SM011,-165.2,83.6,-550.0,-128.4,0.0,0.4,-183.2,201.6,254.4,-15.6,4.8,-8881386.0,5.0,8881391.0,177627819.0,0,invalid
SM012,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,5.0,8880006.0,177600120.0,0,invalid
SM013,-5733.6,83.6,-550.0,-128.4,0.0,0.4,95.2,-1846.8,-1607.6,-15.6,4.8,-8890587.2,5.0,8890592.2,177811844.0,0,invalid
SM014,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,1151.2,4.8,-8878689.2,5.0,8878694.2,177573884.0,0,invalid
SM015,225.6,83.6,129.2,214.0,0.0,-36.8,-204.4,339.6,393.6,-15.6,4.8,-8879755.2,5.0,8879760.2,177595204.0,0,invalid
SM016,225.6,83.6,129.2,214.0,0.0,-36.8,-204.4,339.6,254.4,252.8,4.8,-8879625.5,5.0,8879630.5,177592609.0,0,invalid
SM017,225.6,130.0,172.8,-128.4,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880334.4,7.0,8880341.4,126862020.0,0,invalid
SM018,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,393.6,1151.2,4.8,-8878550.3,5.0,8878555.3,177571106.0,0,invalid
SM019,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880424.4,4.0,8880428.4,222010709.0,0,invalid
SM020,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,433.6,594.4,4.8,-8879066.8,6.0,8879072.8,147984546.0,0,invalid
SM021,225.6,214.0,172.8,-128.4,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880229.0,6.0,8880235.0,148003917.0,0,invalid
SM022,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,-388.0,-15.6,4.8,-8880629.1,5.0,8880634.1,177612681.0,0,invalid
SM023,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879587.5,5.0,8879592.5,177591849.0,0,invalid
SM024,225.6,83.6,129.2,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8880030.3,5.0,8880035.3,177600707.0,0,invalid
SM025,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879870.4,6.0,8879876.4,147997939.0,0,invalid
SM026,-556.4,83.6,129.2,-2088.8,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8883990.1,5.0,8883995.1,177679902.0,0,invalid
SM027,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,201.6,254.4,-15.6,4.8,-8879994.1,5.0,8879999.1,177599982.0,0,invalid
SM028,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879587.5,5.0,8879592.5,177591849.0,0,invalid
SM029,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,5.0,8880624.1,177612482.0,0,invalid
SM030,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0,0,invalid
SM031,-165.2,83.6,-550.0,88.8,0.0,0.4,-183.2,-120.0,66.8,-15.6,4.8,-8881678.1,5.0,8881683.1,177633663.0,0,invalid
SM032,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,6.0,8880555.6,148009259.0,0,invalid
SM033,225.6,83.6,129.2,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880051.7,5.0,8880056.7,177601135.0,0,invalid
SM034,225.6,83.6,129.2,449.6,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8879824.6,6.0,8879830.6,147997177.0,0,invalid
SM035,-6722.8,83.6,172.8,-128.4,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8887451.9,5.0,8887456.9,177749138.0,0,invalid
SM036,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880424.4,6.0,8880430.4,148007173.0,0,invalid
SM037,225.6,83.6,129.2,88.8,0.0,275.6,95.2,339.6,66.8,-15.6,4.8,-8879595.3,6.0,8879601.3,147993355.0,0,invalid
SM038,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,7.0,8879715.5,126853078.0,0,invalid
SM039,-556.4,-1901.2,-550.0,-128.4,0.0,0.4,95.2,-1846.8,-388.0,-294.4,4.8,-8886453.8,4.0,8886457.8,222161446.0,0,invalid
SM040,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,5.0,8880006.0,177600120.0,0,invalid
SM041,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,5.0,8880006.0,177600120.0,0,invalid
SM042,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,4.0,8879517.7,221987942.0,0,invalid
SM043,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879682.6,6.0,8879688.6,147994810.0,0,invalid
SM044,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,594.4,4.8,-8879286.0,5.0,8879291.0,177585819.0,0,invalid
SM045,-165.2,83.6,-550.0,-128.4,0.0,0.4,95.2,201.6,-351.2,-15.6,4.8,-8881713.5,5.0,8881718.5,177634370.0,0,invalid
SM046,-6722.8,83.6,129.2,19.2,0.0,0.4,-183.2,-6480.0,-6316.4,-15.6,4.8,-8900369.2,4.0,8900373.2,222509331.0,0,invalid
SM047,225.6,-1901.2,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8881993.1,5.0,8881998.1,177639962.0,0,invalid
SM048,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879810.0,5.0,8879815.0,177596299.0,0,invalid
SM049,-556.4,83.6,172.8,-128.4,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881285.6,5.0,8881290.6,177625812.0,0,invalid
SM050,-5733.6,83.6,172.8,-2088.8,0.0,0.4,-204.4,-820.4,66.8,-15.6,4.8,-8889423.3,5.0,8889428.3,177788566.0,0,invalid
SM051,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879717.2,5.0,8879722.2,177594444.0,0,invalid
SM052,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881469.6,6.0,8881475.6,148024593.0,0,invalid
SM053,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8882170.1,6.0,8882176.1,148036269.0,0,invalid
SM054,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8879850.4,5.0,8879855.4,177597108.0,0,invalid
SM055,225.6,83.6,129.2,214.0,0.0,-36.8,-183.2,-820.4,254.4,-15.6,4.8,-8881032.9,6.0,8881038.9,148017315.0,0,invalid
SM056,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880424.4,5.0,8880429.4,177608587.0,0,invalid
SM057,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879334.6,5.0,8879339.6,177586792.0,0,invalid
SM058,225.6,83.6,129.2,214.0,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8879894.1,5.0,8879899.1,177597982.0,0,invalid
